00001740	_also_see	00004227
00001740	_also_see	00005041
00001740	_derivationally_related_form	00831191
00001740	_derivationally_related_form	04080833
00001740	_derivationally_related_form	04250850
00001740	_derivationally_related_form	05200169
00001740	_derivationally_related_form	05616246
00001740	_verb_group	00002325
00001740	_verb_group	00002573
00001930	_hypernym	00001740
00002137	_derivationally_related_form	00692329
00002137	_hypernym	00001740
00002325	_derivationally_related_form	00831191
00002325	_derivationally_related_form	03110322
00002325	_hypernym	02108377
00002452	_hypernym	00001930
00002573	_derivationally_related_form	03110322
00002573	_hypernym	00001740
00002573	_verb_group	00001740
00002684	_derivationally_related_form	00532607
00002684	_hypernym	00001930
00002724	_derivationally_related_form	14058252
00002724	_hypernym	00001740
00002942	_derivationally_related_form	00833870
00002942	_hypernym	00001740
00003316	_derivationally_related_form	00836788
00003316	_hypernym	00005041
00003356	_similar_to	00003553
00003431	_derivationally_related_form	00117578
00003431	_derivationally_related_form	09229709
00003431	_hypernym	00105333
00003553	_derivationally_related_form	00050693
00003553	_derivationally_related_form	00367685
00003553	_derivationally_related_form	00368109
00003553	_derivationally_related_form	01462005
00003553	_derivationally_related_form	02625016
00003553	_has_part	03892891
00003553	_has_part	04164989
00003553	_hypernym	00002684
00003553	_similar_to	00003356
00003826	_derivationally_related_form	14359459
00004032	_derivationally_related_form	07129602
00004032	_hypernym	00001740
00004227	_derivationally_related_form	00835267
00004227	_derivationally_related_form	14842091
00004227	_hypernym	00001740
00004258	_hypernym	00003553
00004475	_derivationally_related_form	02614181
00004475	_has_part	00006484
00004475	_has_part	05220461
00004605	_derivationally_related_form	01253060
00004605	_derivationally_related_form	14842091
00004605	_derivationally_related_form	15109745
00004605	_hypernym	00105333
00004819	_derivationally_related_form	10616578
00004819	_derivationally_related_form	14314850
00004819	_hypernym	00010241
00005041	_derivationally_related_form	00836788
00005041	_derivationally_related_form	04080833
00005041	_hypernym	00001740
00005526	_derivationally_related_form	00834135
00005526	_derivationally_related_form	00834460
00005526	_derivationally_related_form	00835501
00005526	_derivationally_related_form	00837098
00005526	_hypernym	00007012
00005815	_also_see	00006238
00005815	_also_see	02200341
00005815	_derivationally_related_form	14359174
00005815	_hypernym	00006238
00006032	_derivationally_related_form	00652900
00006032	_derivationally_related_form	00653620
00006238	_derivationally_related_form	00118552
00006238	_derivationally_related_form	13477934
00006336	_derivationally_related_form	01539633
00006336	_derivationally_related_form	02765464
00006336	_derivationally_related_form	04940964
00006336	_derivationally_related_form	05010062
00006484	_derivationally_related_form	00327031
00006484	_derivationally_related_form	02685299
00006484	_has_part	05432948
00006484	_has_part	05434927
00006484	_has_part	05445668
00006484	_hypernym	00004258
00006484	_synset_domain_topic_of	06037666
00006523	_derivationally_related_form	00834460
00006523	_hypernym	00004227
00006697	_hypernym	00001740
00006802	_derivationally_related_form	00834460
00006802	_derivationally_related_form	00835501
00007012	_derivationally_related_form	00835501
00007012	_hypernym	00004227
00007328	_derivationally_related_form	00837293
00007328	_hypernym	00001740
00007347	_derivationally_related_form	00770437
00007347	_derivationally_related_form	01645601
00007347	_hypernym	00001930
00007549	_derivationally_related_form	00836149
00007549	_derivationally_related_form	10616670
00007549	_hypernym	00005041
00007739	_derivationally_related_form	00117959
00007739	_derivationally_related_form	10783539
00007739	_hypernym	00010241
00007846	_derivationally_related_form	00388065
00007846	_derivationally_related_form	00727573
00007846	_derivationally_related_form	01557614
00007846	_derivationally_related_form	04618781
00007846	_has_part	04617562
00007846	_has_part	05217168
00007846	_hypernym	00004475
00007846	_hypernym	00007347
00008055	_derivationally_related_form	01265176
00008055	_derivationally_related_form	05313822
00008055	_hypernym	00007739
00008435	_derivationally_related_form	00117959
00008435	_hypernym	00462092
00008602	_derivationally_related_form	10643727
00008602	_hypernym	00034288
00009147	_derivationally_related_form	01318660
00009147	_derivationally_related_form	09438055
00009147	_derivationally_related_form	13516842
00009147	_derivationally_related_form	13555599
00009147	_hypernym	01513430
00009492	_derivationally_related_form	11445564
00009492	_hypernym	00009147
00009631	_derivationally_related_form	00335988
00009631	_derivationally_related_form	14361664
00009631	_verb_group	01891817
00009978	_derivationally_related_form	10132988
00010054	_hypernym	01831531
00010241	_hypernym	00010435
00010435	_verb_group	01721556
00011551	_derivationally_related_form	01225562
00011551	_derivationally_related_form	04838727
00011551	_hypernym	00010435
00011757	_derivationally_related_form	05854150
00011982	_derivationally_related_form	10497202
00011982	_hypernym	00010435
00011982	_synset_domain_topic_of	00612160
00012267	_hypernym	00010435
00012267	_verb_group	02289295
00012267	_verb_group	02355596
00012434	_derivationally_related_form	10274318
00012434	_derivationally_related_form	10682038
00012434	_hypernym	00010435
